class,Q,A
PlayerFlashLightManager.cs,write the entire class of PlayerFlashLightManager.cs,"```csharp
 ﻿using System;
using UnityEngine;

/*
 * Player.GunItems.FlashLight.PlayerFlashLightManager
 * it is a player item manager derived from(child of) PlayerGunItem.cs, each item has its own GameObjects and hand animations. PlayerGunItem manages the item and the hand.
 * this class manages flash light item. logic of the flash light and battery ,manages the light and sets the light intensity.
 */

[Serializable]
class PlayerFlashLightManager : PlayerGunItem {
    
    //Unity light component
    [SerializeField] private Light flashLight;

    // ui
    [SerializeField] private FlashLightUiManager flashLightUiManager;
    
    //max capacity of the flash light battery in seconds
    [SerializeField] private float maxCapacity = 10;
    
    //capacity of the light in seconds. it is the battery charge amount
    private float _capacity;
    
    //full light intensity
    private float _flashLightDefaultIntensity;
    
    //animation parameter
    protected override string _animationSubStateTrigger => ""EquipFlashLight"";
    private static readonly int IsFlashLightFlashing = Animator.StringToHash(""IsFlashLightFlashing"");

    //is the light flashing?
    private bool _isFlashing = false;


    public override void Init() {
        //set the battery to full
        _capacity = maxCapacity;
        _flashLightDefaultIntensity = flashLight.intensity;
    }

    public void Update() {
        if (_isActive) {
            //drain the battery when flash light is active
            //charge the battery when flash light is not active
            if (_isFlashing) Draining();
            else Charging();
            
        } else {
            //charge the battery when flash light is not active
            Charging();
        }
    }

    //drain the battery while the light is active
    private void Draining() {
        _capacity -= Time.deltaTime;

        //is the battery empty?
        if (_capacity < 0) {
            NoMoreFlashing();
            _capacity = 0;
        }

        //update ui
        flashLightUiManager.Update(_capacity, maxCapacity);

        //if battery is low, set the light intensity
        if (_capacity < 1) ManuallyChangeTheLightValues();
    }

    //charge the light while it is not active
    private void Charging() {
        //charge if not full
        if (_capacity < maxCapacity) {
            _capacity += Time.deltaTime * 1.35f;

            //update ui
            flashLightUiManager.Update(_capacity, maxCapacity);
        }
    }

    //stop the flash light
    private void NoMoreFlashing() {
        _isFlashing = false;

        //set the animation parameter
        handAnimator.SetBool(IsFlashLightFlashing, false);

        //deactivate the itemHolder
        itemHolder.SetActive(false);
    }


    //start the flash light
    private void StartFlashing() {
        _isFlashing = true;

        //set the animation parameter 
        handAnimator.SetBool(IsFlashLightFlashing, true);

        //activate the itemHolder
        itemHolder.SetActive(true);

        //set the light intensity
        if (_capacity > 1) flashLight.intensity = _flashLightDefaultIntensity;
    }


    private void ManuallyChangeTheLightValues() {
        flashLight.intensity = Mathf.Lerp(0, _flashLightDefaultIntensity, _capacity);
        // flashLightMaterial.SetFloat(""_CustomEmissiveAmount"",
        //     Mathf.Lerp(0, _flashLightMaterialDefaultIntensity, _capacity));
    }


    //called by PlayerGunItemManager when player equips the item 
    public override void ActivateItem() {
        base.ActivateItem();

        //start the flash light
        StartFlashing();
    }


    //called by PlayerGunItemManager when left click is pressed. starts the flash light
    public override void LeftClicked() {
        //activate
        StartFlashing();
    }

    //called by PlayerGunItemManager when right click is pressed. stops the flash light
    public override void RightClicked() {
        //deactivate
        NoMoreFlashing();
    }

    //called by PlayerGunItemManager when player respawns. resets the item
    public override void Reset() {
        _capacity = maxCapacity;
        flashLightUiManager.Update(_capacity, maxCapacity);
    }
} 
```"
LightGunBullet.cs,write the entire class of LightGunBullet.cs,"```csharp
 ﻿using DG.Tweening;
using UnityEngine;

/*
 * Player.GunItems.LightGun.LightGunBullet
 * manages the light gun bullet. LightGunBullet is a bullet that is shot by the light gun. it is a light that can be injected to the lights
 * bullet only collides once, when it does, it either injects the light it has, to the light it has hit, or it grows into a ball
 * the ball can be sucked by the player to fill the light gun ammo
 * bullets are instantiated and shot and sucked by LightGunManager.cs
 * this class manages the bullet behaviours, its collision and its animations
 */

public class LightGunBullet : MonoBehaviour {
    
    [SerializeField] private Rigidbody _rigidbody;
    //bullet initial velocity
    [SerializeField] private float velocity;
    //the lightGunLight component of the bullet
    [SerializeField] private LightGunLight lightGunLight;

    //bullet only collides once 
    private bool _hasCollided;
    //is the bullet shot?
    private bool _isShot;
    //shot bullet will set its position and rotation to this
    private Transform _bulletSpawn;


    public void Init(LightColor lightGunAmmoLight, Transform bulletSpawn) {
        _isShot = true;
        _bulletSpawn = bulletSpawn;
        
        //initialize the lightGun light, inject the light to the LightGunLight component
        lightGunLight.InjectLight(lightGunAmmoLight, true);
    }

    private void Start() {
        // if the bullet is shot, set its position, rotation and velocity. else it is just lying on the ground in its ball form
        if (_isShot) {
            transform.SetPositionAndRotation(_bulletSpawn.position, _bulletSpawn.rotation);
            _rigidbody.velocity = transform.up * velocity;
        }
        
        //set this as the bullet identity of the light
        lightGunLight.BulletIdentity = this;
    }

    //if the bullet collides with a light, inject the light to the light and destroy the bullet
    private void OnCollisionEnter(Collision other) {
        //if the bullet has collided before, don't do anything
        if (_hasCollided) return;

        //is the bullet colliding with a light? if not, grow the bullet into a ball
        if (other.gameObject.TryGetComponent(out LightGunLight otherLight)) {
            //try injecting the light
            bool success = otherLight.InjectLight(lightGunLight.LightType);
            //if it was successful, destroy the bullet else grow the bullet into a ball
            if (success) Destroy(gameObject);
            else HitNonInjectable();
        } else HitNonInjectable();
    }

    //called when bullet hits a non injectable object. grow the bullet into a ball
    private void HitNonInjectable() {
        //no more collisions
        _hasCollided = true;
        
        //grow the bullet into a ball
        transform.DOScale(1, 0.5f);
        _rigidbody.mass = 1;
        _rigidbody.useGravity = true;

        //stop the bullet
        _rigidbody.velocity = Vector3.zero;
    }


    //called by LightGunLight.cs when it is consumed(light is sucked out by the player with the light gun). shrink the bullet and destroy it
    public void OnLightConsumed() {
        //disable collider for safety
        GetComponent<Collider>().enabled = false;
        //kill all tweens(stop all animations)
        transform.DOKill(true);
        //shrink the bullet then destroy it
        transform.DOScale(0, 0.25f).SetEase(Ease.OutQuad).OnComplete((() => { Destroy(gameObject); }));
    }
} 
```"
LightGunLight.cs,write the entire class of LightGunLight.cs,"```csharp
 ﻿using UnityEngine;
using UnityEngine.Events;

/*
 * Player.GunItems.LightGun.LightGunLight
 * manages LightGunLight object, turning them on(injecting lights to them) and off(sucking lights from them)
 * each LightGunLight is a mesh with an emissive material
 * if it has an Unity Light as its child (to make it brighter) it is called a complex light
 */

public class LightGunLight : MonoBehaviour {
    //the light material database
    [SerializeField] private LightMaterialDatabaseSO materials;
    [SerializeField] private int id;

    //unity event that can be set in the inspector
    [SerializeField] private UnityEvent<int, LightColor> onChanged;

    //should broadcast light changes globally?
    [SerializeField] private bool shoutOnLightChange = true;

    //is this light a bullet light? (if it is, it is set by LightGunBullet.cs)
    public LightGunBullet BulletIdentity { get; set; }

    //the light type
    public LightColor LightType { get; private set; }
    private bool _hasLight;
    private Renderer _meshRenderer;

    //complex light
    private bool _isComplex;
    private Light _additionalLight;

    //initialize variables
    private void Awake() {
        _meshRenderer = GetComponent<Renderer>();
        var material = _meshRenderer.sharedMaterial;

        //is it on?
        LightType = materials.GetLightTypeByMaterial(material);
        _hasLight = LightType != LightColor.Off;

        //if the light is complex, get the additional light
        _isComplex = transform.GetComponentInChildren<Light>();
        if (_isComplex) {
            _additionalLight = transform.GetComponentInChildren<Light>();
            Color color = material.GetColor(""_TheColor"");
            _additionalLight.color = color;
        }
    }

    //turn on the light(inject light)
    public bool InjectLight(LightColor lightType = LightColor.White, bool isForced = false) {
        //if the light is already on, don't turn it on again
        if (!isForced && _hasLight) return false;

        //change the material
        LightType = lightType;
        var material = materials.GetLightByType(LightType);
        _meshRenderer.sharedMaterial = material;

        //if the light has an additional light, turn it on and set its color
        if (_isComplex) {
            _additionalLight.enabled = true;
            //get the emissive color from the material properties and set it as the additional light color
            Color color = material.GetColor(""_TheColor"");
            _additionalLight.color = color;
        }

        //broadcast changes
        NotifyListeners(LightType);


        _hasLight = true;
        return true;
    }

    //notify listeners that the light has changed
    private void NotifyListeners(LightColor lightType) {
        //broadcast changes 
        if (shoutOnLightChange) LevelEventHub.LightGunLightInjected(id, lightType);
        onChanged?.Invoke(id, lightType);
    }


    //turn off the light(suck out the light)
    public (LightColor lightType, bool _hasAmmo) SuckLight() {
        //if the light is already off, don't turn it off again
        if (!_hasLight) return (LightColor.Off, false);

        // return the current light as result
        var response = (LightType, true);

        //update the variables
        LightType = LightColor.Off;
        _hasLight = false;

        //update the material
        _meshRenderer.sharedMaterial = materials.Off;
        //if the light has an additional light, turn it off
        if (_isComplex) _additionalLight.enabled = false;

        //broadcast changes
        NotifyListeners(LightType);

        //if this is actually a bullet light(LightGunBullet.cs) call its OnLightConsumed method
        if (BulletIdentity) BulletIdentity.OnLightConsumed();

        // return the light that was sucked out
        return response;
    }


    //called by others to check if this it has light, returns the Light type and a boolean indicating if it has light as a tuple
    public (LightColor _lightGunAmmoLight, bool _hasAmmo) Peek() => (LightType, _hasLight);


    //turn off the additional light(if there is any) when the power is out
    private void LightsOut() {
        _additionalLight.enabled = false;
    }

    //turn on the additional light(if there is any) when the power is back
    private void LightsBackOn() {
        _additionalLight.enabled = true;
    }


    private void OnEnable() {
        //if is complex subscribe (listening) to some events
        if (_isComplex) {
            LevelEventHub.OnLightsOut += LightsOut;
            LevelEventHub.OnLightsBackOn += LightsBackOn;
        }
    }

    private void OnDisable() {
        //if is complex unsubscribe to some events
        if (_isComplex) {
            LevelEventHub.OnLightsOut -= LightsOut;
            LevelEventHub.OnLightsBackOn -= LightsBackOn;
        }
    }
} 
```"
LightGunVisuals.cs,write the entire class of LightGunVisuals.cs,"```csharp
 ﻿using System;
using Cinemachine;
using DG.Tweening;
using UnityEngine;
using UnityEngine.UI;

/*
 * Player.GunItems.LightGun.LightGunVisuals
 * Light Gun is a gun that has only one ammo, it shoots light and sucks light from light sources to fill the ammo.
 * this class manages the visuals and sounds of the LightGun. it is a field in PlayerLightGunManager.cs
 * it manages the ammo indicator and focus indicator in the UI
 */

[Serializable]
class LightGunVisuals {
    //light materials database
    [SerializeField] private LightMaterialDatabaseSO lightGunMaterials;

    //a mesh that has the same color as the light gun ammo
    [SerializeField] private MeshRenderer ammoIndicator;

    [Header(""Ui"")] [SerializeField] private Image focusIndicator;
    [SerializeField] private CinemachineImpulseSource cinemachineImpulseSource;


    private bool _hasAmmo;
    private float _focusIndicatorSize;


    public void Init() {
        //save the focus indicator size
        _focusIndicatorSize = focusIndicator.rectTransform.localScale.x;
        focusIndicator.rectTransform.localScale = Vector3.zero;
        ammoIndicator.enabled = false;
    }


    //called by PlayerLightGunManager when the gun shot a bullet and is now empty. hides the ammo indicator
    public void EmptyAmmo() {
        //hide the ammo indicator
        ammoIndicator.enabled = false;
        //set variables
        _hasAmmo = false;
        //shake the camera
        cinemachineImpulseSource.GenerateImpulse();
    }

    //called by PlayerLightGunManager when the gun is filled with light. changes the ammo indicator color to the color of the light
    public void GunJustGotFilled(LightColor lightGunAmmoLight) {
        //set the ammo indicator color to the color of the light
        ammoIndicator.enabled = true;
        ammoIndicator.sharedMaterial = lightGunMaterials.GetLightByType(lightGunAmmoLight);
        //set variables
        _hasAmmo = true;
        //shake the camera
        cinemachineImpulseSource.GenerateImpulse();
    }

    //called by PlayerLightGunManager when player focuses(aims) on a light.
    public void FocusedOnLight((LightColor lightGunAmmoLight, bool hasAmmo) data) {
        //changes the focus indicator color to green if can shoot light or suck light from the light, changes to yellow if can't
        focusIndicator.color = (_hasAmmo && !data.hasAmmo) || (!_hasAmmo && data.hasAmmo) ? Color.green : Color.yellow;
    }


    //called by PlayerLightGunManager when player stops focusing(aiming) on a light. changes the focus indicator color to red
    public void OutOfFocus() {
        //change the focus indicator color to red
        focusIndicator.color = Color.red;
    }

    //called by PlayerLightGunManager when player equips the gun. shows the focus indicator
    public void OnPullOut() {
        //show the focus indicator
        focusIndicator.rectTransform.DOScale(_focusIndicatorSize, 0.5f).SetEase(Ease.OutQuad);
    }

    //called by PlayerLightGunManager when player unEquips the gun. hides the focus indicator
    public void OnPutAway() {
        //hide the focus indicator
        focusIndicator.rectTransform.DOScale(0, 0.5f).SetEase(Ease.OutQuad);
    }
} 
```"
PlayerLightGunManager.cs,write the entire class of PlayerLightGunManager.cs,"```csharp
 ﻿using System;
using UnityEngine;
using Object = UnityEngine.Object;

/*
 * Player.GunItems.LightGun.PlayerLightGunManager
 * it is a player item manager derived from(child of) PlayerGunItem.cs, each item has its own GameObjects and hand animations. PlayerGunItem manages the item and the hand.
 * Light Gun is a gun that has only one ammo, it shoots light and sucks light from light sources to fill the ammo.
 * this class manages the light gun item.its animations, logic of shooting light and sucking light from the focused light.
 * most of the animation logic is in the animator(state machine). this class only sets the animation triggers and parameters.
 */

[Serializable]
class PlayerLightGunManager : PlayerGunItem {
    
    
    [SerializeField] private Transform playerHead;
    
    [Header(""Raycast"")]
    //layer mask for raycast to check if player is focusing on a light
    [SerializeField] private float distance;
    [SerializeField] private LayerMask layerMask;
    
    //manages the visuals of the light gun
    [SerializeField] private LightGunVisuals lightGunVisuals;
    
    [Header(""Sound"")]
    [SerializeField] private AudioClip lightGunSuckSound, lightGunShootSound;
    
    [Header(""Bullet"")]
    //bullet prefab
    [SerializeField] private LightGunBullet lightBullet;
    //bullet will spawn from this position
    [SerializeField] private Transform bulletSpawn;
    

    //the light that player is focusing(aiming) on
    private LightGunLight _currentFocusedLight;
    
    //does the gun have ammo?
    private bool _hasAmmo;
    //ammo type
    private LightColor _lightGunAmmoLight;
    
    //animation parameter
    protected override string _animationSubStateTrigger => ""EquipGun"";
    private static readonly int IsLightGunFull = Animator.StringToHash(""IsLightGunFull"");

    public override void Init() {
        base.Init();
        lightGunVisuals.Init();
    }

    //called by PlayerGunItemManager when player equips the item. 
    public override void ActivateItem() {
        base.ActivateItem();
        //update the visuals
        lightGunVisuals.OnPullOut();

        //set animation parameter
        if (_hasAmmo) handAnimator.SetBool(IsLightGunFull, true);
    }

    //when player has the light gun equipped, it checks if the player is focusing(aiming) on a light or not
    public void Update() {
        //raycast to check if player is focusing on a light
        RaycastHit hit;
        if (Physics.Raycast(playerHead.position, playerHead.forward, out hit, distance, layerMask)) {
            //check if the hit object is a light
            if (hit.transform.gameObject.layer == 11) FocusingOnALight(hit);
            else NotFocusingOnLight();
            
        } else {
            //raycast didn't hit anything
            NotFocusingOnLight();
        }
    }

    //called when player is not focusing(aiming) on a light
    private void NotFocusingOnLight() {
        Debug.DrawRay(playerHead.position, playerHead.forward * distance, Color.red);

        //if last frame player was focusing on a light, update the visuals
        if (_currentFocusedLight) lightGunVisuals.OutOfFocus();

        //reset the current focused light
        _currentFocusedLight = null;
    }


    //called when player is focusing(aiming) on a light
    private void FocusingOnALight(RaycastHit hit) {
        Debug.DrawRay(playerHead.position, playerHead.forward * distance, Color.green);
        //if last frame player was not focusing on a light OR player is focusing on a new light update the visuals
        if (!_currentFocusedLight || _currentFocusedLight.gameObject != hit.transform.gameObject) {
            //new light is on focused
            //get the lightGunLight component from the hit object
            _currentFocusedLight = hit.transform.GetComponent<LightGunLight>();
            //update the visuals
            lightGunVisuals.FocusedOnLight(_currentFocusedLight.Peek());
        }
    }


    //called by PlayerGunItemManager when left click is pressed. it shoots the light 
    public override void LeftClicked() {
        // can't shoot if there is no ammo or power is off
        if (!_hasAmmo || !GlobalInGameData.IsPowerOn) return;

        ShootLight();
    }

    //shoot a light bullet
    private void ShootLight() {
        //set the animation parameter
        handAnimator.SetBool(IsLightGunFull, false);

        //update the visuals
        lightGunVisuals.EmptyAmmo();
        //play the sound
        MusicSoundManager.Instance.PlaySound(lightGunShootSound);

        //no more ammo
        _hasAmmo = false;

        //instantiate the bullet and initialize it(bullet will spawn with the correct position and rotation(based on bulletSpawn) and start moving forward)
        var bullet = Object.Instantiate(lightBullet);
        bullet.Init(_lightGunAmmoLight, bulletSpawn);
    }


    //called by PlayerGunItemManager when right click is pressed. it tries to suck light from the focused light and fill the gun
    public override void RightClicked() {
        // can't suck light if the gun is full or there is no focused light or power is off
        if (_hasAmmo || _currentFocusedLight == null || !GlobalInGameData.IsPowerOn) return;

        //try to suck light
        (_lightGunAmmoLight, _hasAmmo) = _currentFocusedLight.SuckLight();

        //if succeeded, fill the gun
        if (_hasAmmo) FillTheGun();
    }


    //fill the gun with the light that was sucked out
    private void FillTheGun() {
        //set the animation parameter
        handAnimator.SetBool(IsLightGunFull, true);

        //update the visuals
        lightGunVisuals.GunJustGotFilled(_lightGunAmmoLight);
        //play the sound
        MusicSoundManager.Instance.PlaySound(lightGunSuckSound);
    }

    //called by PlayerGunItemManager when the item is not active anymore.(is unequipped) 
    public override void NotActiveAnymore() {
        base.NotActiveAnymore();
        lightGunVisuals.OnPutAway();
    }
} 
```"
PlayerTeleportManager.cs,write the entire class of PlayerTeleportManager.cs,"```csharp
 using System;
using UnityEngine;

/*
 * Player.GunItems.Teleporter.PlayerTeleportManager
 * it is a player item manager derived from(child of) PlayerGunItem.cs, each item has its own GameObjects and hand animations. PlayerGunItem manages the item and the hand.
 * this class manages teleporter item. logic of the teleporter, manages the teleport seed, and teleports the player.
 * when player presses right click, a teleport seed is planted(it is the current position and rotation of the player). when player presses left click, player teleports to the seed.
 * it uses managers for visuals and instantiating the seed object in the scene.
 */

[Serializable]
public class PlayerTeleportManager : PlayerGunItem {
    
    //Unity CharacterController component
    [SerializeField] private CharacterController controller;

    //manager for teleport visuals
    [SerializeField] private TeleporterVisuals teleporterVisuals;

    //manager for teleport seed. instantiating the seed object in the scene.
    [SerializeField] private TeleportPlanter teleportPlanter;

    //teleport seed. it is the teleport position
    private Vector3 _teleportPosition;
    private Quaternion _teleportRotation;

    //is there a teleport seed?
    private bool _hasTeleportPosition;

    //animation parameter
    protected override string _animationSubStateTrigger => ""EquipTeleporter"";
    private static readonly int HasTeleportSeed = Animator.StringToHash(""HasTeleportSeed"");


    public override void Init() {
        //init the teleport planter
        teleportPlanter.Init(OnSeedDestroyed);
    }

    //teleports player to the teleport position
    private void Teleport() {
        //set the animation parameter
        handAnimator.SetBool(HasTeleportSeed, false);

        //disable player control
        GlobalInGameData.PlayerHasControl = false;

        //play teleport effect - TeleportPart2 is called when the pre-Teleport effect is finished
        FullScreenEffectsManager.Instance.Teleport(TeleportPart3);

        //rest of the teleport logic
        TeleportPart2();
    }

    //second part of the teleportation. 
    private void TeleportPart2() {
        //set visuals
        teleporterVisuals.OnTeleported();

        //delete the seed object
        teleportPlanter.DeleteSeed();

        //play teleport animation
        handAnimator.SetTrigger(""OnTeleport"");
    }

    //third part of the teleportation. does the actual teleportation 
    private void TeleportPart3() {
        //teleport seed is used, no teleport position
        _hasTeleportPosition = false;

        //disable the controller, set the position and rotation, enable the controller (to avoid bugs)
        controller.enabled = false;
        controller.transform.position = _teleportPosition;
        controller.transform.rotation = _teleportRotation;
        controller.enabled = true;

        //enable player control
        GlobalInGameData.PlayerHasControl = true;
    }

    //instantly teleports player to destination.
    public void ForceTeleport(Transform Destination) {
        //update the teleport position immediately
        _hasTeleportPosition = true;
        _teleportPosition = Destination.position;
        _teleportRotation = Destination.rotation;
        _teleportRotation = controller.transform.rotation;
        //teleport
        Teleport();
    }


    //called by PlayerGunItemManager when player equips the item 
    public override void ActivateItem() {
        base.ActivateItem();

        //set visuals and the animation parameter accordingly
        if (_hasTeleportPosition) {
            teleporterVisuals.PulledOutTeleporterWithAlreadyPlantedSeed();
            handAnimator.SetBool(HasTeleportSeed, true);
        }
    }

    //this method is passed to the TeleportPlanter as an Action. it is called when the seed is destroyed. 
    public void OnSeedDestroyed() {
        //no teleport position
        _hasTeleportPosition = false;

        //set visuals
        teleporterVisuals.OnSeedDestroyed();

        //set the animation parameter
        handAnimator.SetBool(HasTeleportSeed, false);
    }

    //called by PlayerGunItemManager when left click is pressed. it teleports the player to the teleport seed(position)
    public override void LeftClicked() {
        //check if there is a teleport position. if there is, teleport
        if (_hasTeleportPosition) {
            Teleport();
        }
    }


    //called by PlayerGunItemManager when right click is pressed. it plants a new teleport seed(position)
    public override void RightClicked() {
        //set the animation parameter
        handAnimator.SetBool(HasTeleportSeed, true);

        //set the teleport seed(teleport position and rotation)
        _hasTeleportPosition = true;
        _teleportPosition = controller.transform.position;
        _teleportRotation = controller.transform.rotation;

        //set visuals
        teleporterVisuals.OnNewSeedPlanted();

        //make the seed object in the scene
        teleportPlanter.PlantNewSeed(_teleportPosition);
    }
} 
```"
TeleporterVisuals.cs,write the entire class of TeleporterVisuals.cs,"```csharp
 ﻿using System;
using Cinemachine;
using UnityEngine;

/*
 * Player.GunItems.Teleporter.TeleporterVisuals
 * this class manages the visuals and sounds of the teleporter item. it is a field in PlayerTeleportManager.cs
 * most of the animation logic is in the animator(state machine). this class only sets the animation triggers and parameters.
 */

[Serializable]
public class TeleporterVisuals {
    
    [SerializeField] private Animator animator;
    [SerializeField] private CinemachineImpulseSource cinemachineImpulseSource;

    [Header(""Sounds"")]
    [SerializeField] private AudioClip teleportSound, plantSound;

    //called when player teleports
    public void OnTeleported() {
        //set the animation trigger and parameter
        animator.SetTrigger(""Teleport"");
        animator.SetBool(""HasSeed"", false);
        
        //play the sound
        MusicSoundManager.Instance.PlaySound(teleportSound);
        //shake the camera
        cinemachineImpulseSource.GenerateImpulse();
    }

    public void OnNewSeedPlanted() {
        //set the animation parameter
        animator.SetBool(""HasSeed"", true);
        //play the sound
        MusicSoundManager.Instance.PlaySound(plantSound);
        //shake the camera
        cinemachineImpulseSource.GenerateImpulse();
    }

    //teleporter item is equipped, and a teleport seed is already planted
    public void PulledOutTeleporterWithAlreadyPlantedSeed() {
        //set the animation parameter
        animator.SetBool(""HasSeed"", true);
    }

    //called when the teleport seed(teleport position) is destroyed
    public void OnSeedDestroyed() {
        //set the animation parameter
        animator.SetBool(""HasSeed"", false);
        //play the sound
        MusicSoundManager.Instance.PlaySound(teleportSound);
    }
} 
```"
TeleportPlanter.cs,write the entire class of TeleportPlanter.cs,"```csharp
 ﻿using System;
using UnityEngine;
using Object = UnityEngine.Object;

/*
 * Player.GunItems.Teleporter.TeleportPlanter
 * when player presses right click, a teleport seed is planted(it is the current position and rotation of the player). when player presses left click, player teleports to the seed.
 * this class manages the planting(instantiating) teleport seed of the teleporter item and its destruction. it is a field in PlayerTeleportManager.cs
 * only one seed can be planted at a time.
 */

[Serializable]
public class TeleportPlanter {
    
    //the seed prefab
    [SerializeField] private TeleportSeed newSeedPrefab;
    
    //last planted seed
    private TeleportSeed _lastSeed;
    
    //called when the seed is destroyed by collision.
    private Action _onSeedDestroyedAction;
    
    public void Init(Action onSeedDestroyedAction) {
        _onSeedDestroyedAction = onSeedDestroyedAction;
    }

    //plant a new seed
    public void PlantNewSeed(Vector3 teleportPosition) {
        //destroy the last seed
        DeleteSeed();
        //instantiate a new seed
        _lastSeed=Object.Instantiate(newSeedPrefab,teleportPosition,Quaternion.identity);
        //init the seed
        _lastSeed.Init(SeedDestroyedByCollision);
    }

    //called when the seed is destroyed by collision. delegates upwards to PlayerTeleportManager.cs
    private void SeedDestroyedByCollision() {
        _lastSeed = null;
        _onSeedDestroyedAction.Invoke();
    }

    //destroy the last seed
    public void DeleteSeed() {
        if (_lastSeed) _lastSeed.DestroyYourSelf();
    }
} 
```"
TeleportSeed.cs,write the entire class of TeleportSeed.cs,"```csharp
 using System;
using UnityEngine;

/*
 * Player.GunItems.Teleporter.TeleportSeed
 * when player presses right click, a teleport seed is planted(it is the current position and rotation of the player). when player presses left click, player teleports to the seed.
 * this class manages the seed. it is destroyed when it is crushed.
 */

public class TeleportSeed : MonoBehaviour {
    
    //called when the seed is destroyed by collision.
    private Action _onDestroyAction;

    public void Init(Action onDestroyAction) {
        _onDestroyAction = onDestroyAction;
    }

    //destroy the seed when something(other than Player) enters its trigger zone
    private void OnTriggerEnter(Collider other) {
        if (other.CompareTag(""Player"")) return;
        if (other.isTrigger) return;

        //the seed is destroyed by collision. delegates upwards to TeleportPlanter.cs
        _onDestroyAction();
        
        //destroy the gameObject
        DestroyYourSelf();
    }

    //destroy the gameObject from outside
    public void DestroyYourSelf() {
        Destroy(gameObject);
    }
} 
```"
AnimatedInteractable.cs,write the entire class of AnimatedInteractable.cs,"```csharp
 using DG.Tweening;
using UnityEngine;
using UnityEngine.Events;

/*
 * Player.Interactables.AnimatedInteractable
 * InteractableObject.cs is the base(abstract) class for all interactable objects in the game. they all must inherit from it or one of its children
 * all interactable objects have a child of InteractableObject.cs class attached to them
 * each script that inherits from InteractableObject.cs has its own custom logic for when the player is focusing on it and when the player interacts with it
 * this class (AnimatedInteractable.cs) inherits from InteractableObject.cs and adds the functionality of playing an animation when the player interacts with the object
 * other scripts can subscribe to the onInteractAction event to add custom logic when the player interacts with the object
 * gameObjects with this script attached to them must have an animator component with a trigger parameter called ""OnInteract"" and an animation that plays when the trigger is called
 */

[RequireComponent(typeof(Animator))]
public class AnimatedInteractable : InteractableObject {
    private Animator _animator;

    [Tooltip(""If true, the object will only be animated once then disabled."")] 
    [SerializeField] private bool isOneTimeAnimated;
    
    //cooldown between each interaction. If 0, there is no cooldown
    [SerializeField] private float cooldown;

    //the action to invoke when the player interacts with the object. Set in the inspector
    [SerializeField] private UnityEvent onInteractAction;
    
    [SerializeField] private AudioSource audioSource;


    private void Start() {
        _animator = GetComponent<Animator>();
    }

    //player is no longer focusing on the current interactable object. child classes can override this method to add custom logic
    protected override void OnObjectWentOutOfFocus() { }


    //Called by PlayerInteractableObjectsManager.cs when the player presses the interact button while focusing on the object. Plays the animation and invokes the onInteractAction
    public override void Interact() {
        //play the animation
        audioSource.Play();
        _animator.SetTrigger(""OnInteract"");

        //if the object is one time animated, disable the collider so the player can't interact with it again
        if (isOneTimeAnimated) GetComponent<Collider>().enabled = false;

        //if it has a cooldown, disable the collider for the duration of the cooldown
        else if (cooldown != 0) {
            GetComponent<Collider>().enabled = false;
            DOTween.Sequence().AppendInterval(cooldown).OnComplete(() => { GetComponent<Collider>().enabled = true; });
        }

        //invoke the onInteractAction
        onInteractAction?.Invoke();
    }
} 
```"
CollectableInteractable.cs,write the entire class of CollectableInteractable.cs,"```csharp
 ﻿using DG.Tweening;
using UnityEngine;

/*
 * Player.Interactables.CollectableInteractable
 * InteractableObject.cs is the base(abstract) class for all interactable objects in the game. they all must inherit from it or one of its children
 * all interactable objects have a child of InteractableObject.cs class attached to them
 * each script that inherits from InteractableObject.cs has its own custom logic for when the player is focusing on it and when the player interacts with it
 * this class (CollectableInteractable.cs) inherits from InteractableObject.cs and adds the functionality of collecting the object when the player interacts with it
 */

public class CollectableInteractable : InteractableObject {
    [SerializeField] private int id;

    //player is no longer focusing on the current interactable object.
    protected override void OnObjectWentOutOfFocus() { }

    //Called by PlayerInteractableObjectsManager.cs when the player presses the interact button while focusing on the object. shrink the object and destroy it
    public override void Interact() {
        //disable the collider so the player can't interact with it again
        GetComponent<Collider>().enabled = false;
        //shrink the object and destroy it
        transform.DOScale(0, 0.3f).SetEase(Ease.OutCubic).OnComplete((() => {
            Destroy(gameObject);
            //invoke the event(player collected a collectable)
            LevelEventHub.PlayerCollectedCollectable(id);
        }));
    }
} 
```"
